,category_id,rate
0,1487580004832248652,98.88641425389756
1,1487580004857414477,94.72848523340743
2,1487580004882580302,98.85844748858447
3,1487580004916134735,93.68348781325095
4,1487580004983243602,100.0
5,1487580005008409427,96.52389819987586
6,1487580005025186644,100.0
7,1487580005050352469,97.80071813285458
8,1487580005067129686,99.03047091412742
9,1487580005092295511,96.46822092700528
10,1487580005134238553,97.18476460846937
11,1487580005268456287,98.13636870884946
12,1487580005293622112,100.0
13,1487580005318787937,100.0
14,1487580005343953762,100.0
15,1487580005385896804,97.75280898876404
16,1487580005411062629,97.46563573883161
17,1487580005427839846,98.10148429409735
18,1487580005461394279,98.67498051441933
19,1487580005486560104,100.0
20,1487580005511725929,94.67035136202132
21,1487580005528503146,98.9041095890411
22,1487580005553668971,97.86650411459921
23,1487580005595612013,95.27722772277228
24,1487580005629166447,100.0
25,1487580005671109489,95.12619669277633
26,1487580005713052531,96.76113360323886
27,1487580005754995573,95.73134328358209
28,1487580005855658874,100.0
29,1487580005880824699,100.0
30,1487580005897601916,97.35349716446125
31,1487580005922767741,100.0
32,1487580006015042434,99.02912621359224
33,1487580006056985476,100.0
34,1487580006073762693,100.0
35,1487580006098928518,100.0
36,1487580006132482952,100.0
37,1487580006157648777,100.0
38,1487580006174425994,100.0
39,1487580006199591819,99.36908517350157
40,1487580006241534861,98.36381135707411
41,1487580006300255120,99.83722192078133
42,1487580006317032337,96.5220666708519
43,1487580006350586771,99.5398773006135
44,1487580006409307030,97.79086892488954
45,1487580006434472855,100.0
46,1487580006451250072,99.17808219178082
47,1487580006484804506,100.0
48,1487580006509970331,99.64507542147294
49,1487580006526747548,100.0
50,1487580006551913373,99.1492652745553
51,1487580006627410849,100.0
52,1487580006644188066,98.17518248175182
53,1487580006711296933,95.83333333333333
54,1487580006820348840,97.87234042553192
55,1487580006845514665,100.0
56,1487580006870680490,100.0
57,1487580006895846315,97.56511891279729
58,1487580006937789357,98.75156054931335
59,1487580006979732399,93.06930693069307
60,1487580007004898224,100.0
61,1487580007021675441,100.0
62,1487580007046841266,100.0
63,1487580007072007091,100.0
64,1487580007097172916,100.0
65,1487580007113950133,100.0
66,1487580007139115958,99.01960784313725
67,1487580007172670392,99.42196531791907
68,1487580007189447609,99.39301972685888
69,1487580007214613434,100.0
70,1487580007256556476,98.92545332437878
71,1487580007281722301,99.15700737618546
72,1487580007306888126,98.30148619957536
73,1487580007365608384,97.03504043126685
74,1487580007399162817,99.33481152993348
75,1487580007432717250,98.31602582093741
76,1487580007457883075,98.40546697038724
77,1487580007483048900,99.46236559139786
78,1487580007524991942,100.0
79,1487580007550157767,99.42196531791907
80,1487580007575323592,98.03664921465969
81,1487580007592100809,98.14814814814815
82,1487580007634043851,96.19071644803229
83,1487580007659209676,95.84934665641813
84,1487580007675986893,92.49168551283756
85,1487580007701152718,100.0
86,1487580007717929935,97.03733766233766
87,1487580007759872977,97.0954356846473
88,1487580007776650194,99.29328621908127
